t_s,v_true_mps,v_raw_mps,v_iqr_mps,v_kalman_mps
9.112,1.99271561848951,1.98774379104947,1.99766398267601,1.99762923768505
9.152,1.99335613981879,2.02489743742979,1.99612690484211,1.99614163501142
9.192,1.9939673147205,2.04638797898779,1.99511993015495,1.99512994783219
9.232,1.9945491190665,1.97297830386099,1.99792115369466,1.99789378630058
9.272,1.99510152988816,1.99302801415955,1.99453197983928,1.99456494189467
9.312,1.99562452537723,2.03441814120592,1.99901195350139,1.99896835115706
9.352,1.99611808488675,2.01234905254867,1.99719254080442,1.99720995238354
9.392,1.99658218893184,1.9387777674501,1.99445012640426,1.99447718612285
9.432,1.99701681919046,2.03869087871011,1.99491552498505,1.99491122713209
9.472,1.99742195850416,1.96572654088853,1.99331660633271,1.99333224137289
9.512,1.99779759087873,1.97626646779499,1.99850926038578,1.99845850041806
9.552,1.99814370148485,1.99320776242974,1.99589443678555,1.99591957708094
9.592,1.99846027665866,2.01966139000923,1.99733428799346,1.99732041694526
